period,company,sector,ticker,revenues,cogs,net_income,ebit,ebitda,chg_wc,r_and_d,assets,debt,equity,gross_margin,operating_margin,net_margin,roe,roa,fcf_net_income,current_ratio,liab_equity,debt_assets,dividends,cash_and_eq,curr_assets,curr_liab,sg_a,op_exp,net_interest_paid,pretax_income,taxes
9/30/18,ACTUANT CORP,Industrial Products,ATU,"1,183",767,-22,103,144,1,0,"1,481",533,559,35.10%,8.70%,-1.80%,-3.90%,-1.50%,-533.00%,199.70%,165.10%,36.00%,-2,250,661,331,291,312,31,-13,9
9/30/18,ACUITY BRANDS INC,Computer Hardware,AYI,"3,680","2,193",350,460,541,-66,0,"2,989",365,"1,717",40.40%,12.50%,9.50%,20.40%,11.70%,101.40%,177.40%,74.10%,12.20%,-21,129,"1,211",683,"1,027","1,027",34,426,76
9/30/18,Acushnet Holdings Corp.,Travel & Leisure,Golf,"1,568",765,102,168,209,-64,47,"1,883",573,886,51.20%,10.70%,6.80%,12.00%,5.70%,77.30%,196.90%,112.50%,30.40%,-46,0,847,430,582,635,17,148,41
9/30/18,"ADAMS RESOURCES & ENERGY, INC.",Oil & Gas - Integrated,AE,"1,406",49,2,4,16,3,0,285,2,147,96.50%,0.30%,0.10%,1.00%,0.50%,1314.20%,189.30%,93.10%,0.60%,-4,112,250,132,"1,341","1,353",-1,-1,-2
9/30/18,"Adaptive Medias, Inc.",,ADTM,,,,,,,,9,0,1,,,,,,,19.60%,706.70%,0.00%,,0,2,8,,,,,
9/30/18,addyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/18,Adeptus Health Inc.,,ADPT,329,0,12,18,37,-80,0,539,159,147,100.00%,5.60%,8.90%,20.00%,5.40%,-217.30%,281.90%,267.30%,29.40%,0,46,133,47,246,311,14,35,6
9/30/18,ADESTO TECHNOLOGIES Corp,Semiconductors,IOTS,56,29,-6,-5,-2,-1,14,61,12,33,49.00%,-8.60%,-10.10%,-17.30%,-9.30%,103.50%,315.10%,84.60%,19.50%,0,30,46,14,17,32,1,-6,0
9/30/18,"ADIAL PHARMACEUTICALS, INC.",Biotechnology,ADIL,0,0,-3,-3,-3,0,0,0,0,-1,0.00%,0.00%,0.00%,221.70%,-1532.90%,81.70%,12.20%,-114.50%,125.30%,0,0,0,1,1,3,0,-3,0
9/30/18,adidas Group,Retail - Apparel & Specialty,ADS.DE,"25,681","12,492","1,693","2,745","3,337",150,0,"17,055","2,137","7,185",51.40%,10.70%,6.60%,23.60%,10.00%,102.50%,135.20%,137.40%,10.50%,-629,"1,565","10,407","7,695","15,421","10,577",44,"2,657",862
9/30/18,Adient plc,Autos,ADNT,"17,273","16,233",14,352,785,-372,0,"12,338","3,439","4,194",6.00%,2.00%,0.50%,2.30%,0.80%,-366.30%,103.60%,194.20%,27.90%,-103,378,"4,172","4,025",688,688,142,314,219
9/30/18,ADOBE SYSTEMS INC,Application Software,ADBE,"7,699","1,032","1,879","2,402","2,724",920,"1,288","14,973","1,875","8,634",86.60%,31.20%,24.40%,21.80%,12.60%,154.50%,211.50%,73.40%,12.50%,0,"6,148","7,481","3,536","2,903","4,265",76,"2,380",501
9/30/18,"ADOMANI, INC.",Autos,ADOM,0,0,-22,-22,-22,0,1,5,2,2,-12.70%,-5081.90%,-5153.60%,-936.00%,-411.60%,100.70%,165.20%,127.40%,40.40%,0,2,4,3,21,22,0,-22,0
9/30/18,ADT Corp,Computer Hardware,ADT,"3,509","1,596",304,644,"1,728",-20,0,"10,637","5,269","3,008",54.50%,18.40%,8.70%,10.10%,2.90%,84.20%,61.60%,253.60%,49.50%,-141,63,412,669,"1,269","1,269",200,402,98
9/30/18,"ADURO BIOTECH, INC.",Biotechnology,ADRO,17,0,-92,-106,-102,-27,89,445,0,237,100.00%,-617.50%,-532.90%,-38.70%,-20.60%,134.20%,845.70%,87.40%,0.00%,0,326,350,41,34,124,-3,-103,-11
9/30/18,ADVANCE AUTO PARTS INC,Retail - Apparel & Specialty,AAP,"9,420","5,315",535,610,852,76,0,"8,836","1,045","3,658",43.60%,6.50%,5.70%,14.60%,6.10%,147.20%,163.30%,141.50%,11.80%,-18,902,"5,878","3,598","3,496","3,496",57,557,22
